TRINITY_DN5444_c0_g2_i1.p1	K00006
TRINITY_DN2646_c0_g2_i1.p3	K09569
TRINITY_DN394_c0_g1_i19.p3	K09580
TRINITY_DN1688_c0_g4_i4.p3	K09611
TRINITY_DN646_c5_g1_i1.p2	K09834
TRINITY_DN376_c7_g1_i1.p2	K09838
TRINITY_DN324_c0_g1_i1.p34	K09903
TRINITY_DN5598_c0_g1_i2.p1	K09903
TRINITY_DN17541_c1_g2_i4.p13	K09919
TRINITY_DN390_c7_g1_i2.p1	K10046
TRINITY_DN19600_c0_g1_i2.p1	K10047
TRINITY_DN842_c3_g1_i1.p3	K10143
TRINITY_DN1925_c0_g1_i6.p3	K10206
TRINITY_DN1070_c1_g1_i103.p1	K10255
TRINITY_DN330_c0_g1_i3.p4	K10260
TRINITY_DN437_c0_g1_i2.p6	K10355
TRINITY_DN367_c11_g1_i8.p1	K10357
TRINITY_DN929_c7_g1_i12.p1	K10357
TRINITY_DN1151_c13_g1_i1.p1	K10408
TRINITY_DN1151_c13_g1_i2.p2	K10408
TRINITY_DN984_c4_g1_i2.p1	K10408
TRINITY_DN666_c3_g1_i1.p8	K10419
TRINITY_DN12407_c0_g2_i1.p1	K10527
TRINITY_DN118_c4_g1_i1.p2	K10576
TRINITY_DN143_c8_g1_i1.p3	K10739
TRINITY_DN650_c4_g1_i4.p2	K10752
TRINITY_DN2975_c0_g1_i1.p1	K10770
TRINITY_DN2975_c0_g1_i6.p1	K10770
TRINITY_DN1783_c0_g1_i16.p2	K10807
TRINITY_DN2649_c1_g1_i5.p2	K10843
TRINITY_DN241_c5_g1_i4.p4	K10844
TRINITY_DN135_c9_g1_i4.p3	K10866
TRINITY_DN730_c0_g2_i3.p23	K10870
TRINITY_DN730_c0_g2_i4.p23	K10870
TRINITY_DN730_c0_g2_i7.p22	K10870
TRINITY_DN22_c55_g2_i1.p1	K10899
TRINITY_DN7626_c0_g2_i2.p2	K10901
TRINITY_DN462_c0_g2_i1.p4	K10908
TRINITY_DN462_c0_g2_i5.p2	K10908
TRINITY_DN5115_c0_g1_i71.p2	K10956
TRINITY_DN4698_c0_g1_i5.p2	K10960
TRINITY_DN119_c9_g2_i43.p11	K11000
TRINITY_DN688_c0_g4_i1.p10	K11143
TRINITY_DN826_c0_g8_i1.p15	K11147
TRINITY_DN234_c9_g1_i6.p4	K11188
TRINITY_DN234_c9_g1_i8.p8	K11188
TRINITY_DN234_c9_g1_i9.p8	K11188
TRINITY_DN2374_c1_g2_i2.p6	K11251
TRINITY_DN2374_c1_g2_i23.p4	K11251
TRINITY_DN2374_c1_g2_i30.p2	K11251
TRINITY_DN2374_c1_g2_i7.p4	K11251
TRINITY_DN2119_c0_g1_i10.p1	K11253
TRINITY_DN2119_c0_g1_i11.p4	K11253
TRINITY_DN2119_c0_g1_i14.p4	K11253
TRINITY_DN2119_c0_g1_i3.p2	K11253
TRINITY_DN2119_c0_g1_i6.p1	K11253
TRINITY_DN2119_c0_g1_i8.p1	K11253
TRINITY_DN3439_c0_g1_i1.p1	K11254
TRINITY_DN3439_c0_g1_i11.p1	K11254
TRINITY_DN3439_c0_g1_i14.p4	K11254
TRINITY_DN3439_c0_g1_i4.p2	K11254
TRINITY_DN3439_c0_g1_i8.p2	K11254
TRINITY_DN697_c0_g1_i1.p2	K11293
TRINITY_DN697_c0_g1_i2.p3	K11293
TRINITY_DN697_c0_g1_i6.p2	K11293
TRINITY_DN1526_c0_g1_i1.p6	K11338
TRINITY_DN1526_c0_g1_i11.p5	K11338
TRINITY_DN1526_c0_g1_i21.p5	K11338
TRINITY_DN1526_c0_g1_i24.p5	K11338
TRINITY_DN1526_c0_g1_i25.p6	K11338
TRINITY_DN1526_c0_g1_i6.p6	K11338
TRINITY_DN898_c1_g2_i1.p1	K11446
TRINITY_DN333_c66_g1_i1.p1	K11517
TRINITY_DN4138_c0_g1_i1.p2	K11517
TRINITY_DN3827_c0_g2_i1.p12	K11538
TRINITY_DN41611_c0_g1_i6.p1	K11538
TRINITY_DN334_c3_g2_i1.p1	K11594
TRINITY_DN1936_c1_g1_i4.p5	K11654
TRINITY_DN26222_c0_g1_i1.p1	K11717
TRINITY_DN46_c13_g3_i1.p2	K11717
TRINITY_DN1113_c0_g1_i3.p3	K11752
TRINITY_DN2422_c0_g2_i1.p4	K11752
TRINITY_DN3692_c0_g1_i1.p91	K11755
TRINITY_DN3692_c0_g1_i3.p65	K11755
TRINITY_DN3692_c0_g2_i2.p91	K11755
TRINITY_DN50_c16_g2_i1.p1	K11755
TRINITY_DN5382_c0_g2_i1.p2	K11755
TRINITY_DN5382_c0_g2_i2.p2	K11755
TRINITY_DN68_c4_g1_i1.p10	K11755
TRINITY_DN68_c4_g1_i2.p8	K11755
TRINITY_DN9362_c1_g1_i1.p1	K11755
TRINITY_DN482_c7_g1_i1.p1	K11806
TRINITY_DN482_c7_g1_i2.p1	K11806
TRINITY_DN482_c7_g1_i3.p1	K11806
TRINITY_DN482_c7_g1_i4.p1	K11806
TRINITY_DN3447_c0_g1_i1.p4	K11808
TRINITY_DN3447_c0_g1_i2.p4	K11808
TRINITY_DN1944_c1_g1_i9.p7	K11855
TRINITY_DN28617_c0_g1_i2.p4	K11866
TRINITY_DN322_c1_g1_i4.p3	K11883
TRINITY_DN110_c0_g2_i1.p4	K12118
TRINITY_DN1302_c1_g1_i1.p1	K12176
TRINITY_DN18136_c1_g3_i1.p1	K12251
TRINITY_DN18136_c1_g3_i2.p1	K12251
TRINITY_DN170_c4_g7_i1.p1	K12261
TRINITY_DN109_c1_g2_i1.p6	K12447
TRINITY_DN5_c4_g1_i1.p30	K12448
TRINITY_DN708_c3_g1_i1.p9	K12492
TRINITY_DN519_c0_g1_i5.p2	K12606
TRINITY_DN1689_c0_g1_i1.p19	K12619
TRINITY_DN1689_c0_g1_i5.p17	K12619
TRINITY_DN1689_c0_g1_i7.p18	K12619
TRINITY_DN771_c0_g2_i5.p17	K12623
TRINITY_DN11882_c2_g2_i3.p1	K12657
TRINITY_DN17_c0_g2_i2.p5	K12657
TRINITY_DN9332_c0_g2_i1.p1	K12657
TRINITY_DN9332_c0_g2_i2.p3	K12657
TRINITY_DN59_c12_g1_i1.p4	K12812
TRINITY_DN59_c12_g1_i3.p4	K12812
TRINITY_DN2472_c0_g1_i2.p12	K12813
TRINITY_DN2442_c0_g1_i42.p1	K12815
TRINITY_DN1887_c0_g1_i2.p2	K12820
TRINITY_DN564_c3_g2_i16.p2	K12823
TRINITY_DN564_c3_g2_i3.p1	K12823
TRINITY_DN325_c0_g1_i13.p12	K12826
TRINITY_DN1046_c6_g2_i7.p1	K12830
TRINITY_DN395_c0_g1_i2.p1	K12830
TRINITY_DN1225_c1_g1_i4.p7	K12845
TRINITY_DN239_c3_g1_i7.p3	K12852
TRINITY_DN1255_c2_g1_i5.p5	K12854
TRINITY_DN65_c0_g1_i8.p2	K12856
TRINITY_DN1822_c0_g1_i2.p4	K12857
TRINITY_DN14_c0_g3_i1.p3	K12858
TRINITY_DN1709_c0_g1_i22.p14	K12859
TRINITY_DN348_c8_g2_i2.p3	K12862
TRINITY_DN26_c1_g2_i1.p2	K12867
TRINITY_DN26_c1_g2_i2.p3	K12867
TRINITY_DN2034_c0_g1_i2.p6	K12874
TRINITY_DN2090_c1_g1_i1.p4	K12876
TRINITY_DN65_c24_g1_i1.p1	K12880
TRINITY_DN4_c7_g1_i1.p2	K13091
TRINITY_DN1296_c0_g1_i1.p2	K13106
TRINITY_DN506_c2_g4_i1.p3	K13107
TRINITY_DN899_c0_g1_i2.p4	K13113
TRINITY_DN596_c3_g1_i29.p30	K13117
TRINITY_DN596_c3_g1_i38.p30	K13117
TRINITY_DN596_c3_g1_i50.p30	K13117
TRINITY_DN596_c3_g1_i62.p30	K13117
TRINITY_DN596_c3_g1_i66.p30	K13117
TRINITY_DN1819_c0_g1_i3.p4	K13126
TRINITY_DN137_c12_g1_i29.p2	K13137
TRINITY_DN66_c0_g1_i2.p4	K13179
TRINITY_DN66_c0_g1_i3.p4	K13179
TRINITY_DN1927_c0_g2_i6.p24	K13210
TRINITY_DN119_c15_g3_i2.p18	K13220
TRINITY_DN27800_c0_g2_i1.p1	K13288
TRINITY_DN1300_c0_g1_i3.p5	K13341
TRINITY_DN1300_c0_g1_i6.p5	K13341
TRINITY_DN648_c3_g1_i6.p7	K13379
TRINITY_DN422_c10_g1_i1.p3	K13412
TRINITY_DN672_c3_g3_i1.p4	K13506
TRINITY_DN789_c0_g2_i2.p3	K13525
TRINITY_DN789_c0_g2_i4.p2	K13525
TRINITY_DN1342_c2_g1_i44.p3	K13600
TRINITY_DN609_c0_g2_i3.p5	K13679
TRINITY_DN416_c0_g1_i12.p11	K13789
TRINITY_DN791_c4_g1_i4.p7	K13789
TRINITY_DN1747_c1_g6_i1.p5	K13985
TRINITY_DN213_c2_g1_i14.p2	K13998
TRINITY_DN213_c2_g1_i19.p4	K13998
TRINITY_DN5588_c0_g1_i1.p6	K13998
TRINITY_DN5588_c0_g1_i4.p4	K13998
TRINITY_DN1637_c1_g2_i4.p1	K14006
TRINITY_DN4313_c0_g4_i1.p2	K14164
TRINITY_DN9063_c0_g1_i1.p9	K14164
TRINITY_DN815_c4_g3_i1.p1	K14168
TRINITY_DN16258_c0_g2_i2.p15	K14298
TRINITY_DN1963_c0_g2_i2.p1	K14376
TRINITY_DN1030_c3_g1_i11.p6	K14403
TRINITY_DN1030_c3_g1_i13.p6	K14403
TRINITY_DN1030_c3_g1_i4.p6	K14403
TRINITY_DN1030_c3_g1_i6.p6	K14403
TRINITY_DN1030_c3_g1_i64.p5	K14403
TRINITY_DN1030_c3_g1_i69.p6	K14403
TRINITY_DN1030_c3_g1_i7.p3	K14403
TRINITY_DN1030_c3_g1_i75.p5	K14403
TRINITY_DN172_c1_g2_i2.p8	K14415
TRINITY_DN2364_c0_g2_i1.p1	K14441
TRINITY_DN803_c1_g2_i1.p4	K14441
TRINITY_DN803_c1_g2_i2.p5	K14441
TRINITY_DN10461_c0_g1_i1.p5	K14455
TRINITY_DN217_c7_g1_i6.p3	K14497
TRINITY_DN385_c3_g1_i5.p2	K14498
TRINITY_DN407_c0_g1_i1.p2	K14498
TRINITY_DN407_c0_g1_i17.p10	K14498
TRINITY_DN407_c0_g1_i8.p18	K14498
TRINITY_DN664_c5_g1_i3.p13	K14521
TRINITY_DN7764_c2_g2_i3.p3	K14549
TRINITY_DN7764_c2_g2_i4.p4	K14549
TRINITY_DN480_c4_g2_i1.p3	K14553
TRINITY_DN480_c4_g2_i1.p4	K14553
TRINITY_DN480_c4_g2_i2.p5	K14553
TRINITY_DN1829_c3_g1_i5.p4	K14554
TRINITY_DN234_c17_g1_i3.p3	K14554
TRINITY_DN1941_c2_g2_i2.p2	K14555
TRINITY_DN1941_c2_g2_i3.p1	K14555
TRINITY_DN635_c3_g2_i3.p1	K14563
TRINITY_DN1931_c1_g1_i4.p2	K14564
TRINITY_DN2039_c3_g1_i1.p9	K14571
TRINITY_DN2039_c3_g1_i2.p10	K14571
TRINITY_DN1113_c0_g1_i3.p2	K14652
TRINITY_DN3_c1_g1_i1.p7	K14652
TRINITY_DN3_c1_g1_i2.p7	K14652
TRINITY_DN621_c3_g3_i1.p1	K14652
TRINITY_DN28_c1_g1_i1.p3	K14664
TRINITY_DN677_c0_g1_i2.p8	K14664
TRINITY_DN677_c0_g1_i4.p8	K14664
TRINITY_DN6947_c1_g1_i1.p5	K14664
TRINITY_DN1173_c1_g1_i1.p3	K14753
TRINITY_DN1173_c1_g1_i2.p3	K14753
TRINITY_DN824_c5_g1_i1.p3	K14759
TRINITY_DN301_c0_g1_i2.p1	K14776
TRINITY_DN18_c7_g1_i5.p7	K14792
TRINITY_DN187_c7_g1_i2.p4	K14799
TRINITY_DN1030_c3_g1_i6.p45	K14802
TRINITY_DN1030_c3_g1_i69.p2	K14802
TRINITY_DN5758_c0_g2_i8.p7	K14807
TRINITY_DN336_c7_g1_i6.p2	K14809
TRINITY_DN975_c0_g1_i19.p1	K14811
TRINITY_DN278_c1_g1_i11.p6	K14830
TRINITY_DN278_c1_g1_i12.p6	K14830
TRINITY_DN278_c1_g1_i13.p5	K14830
TRINITY_DN278_c1_g1_i4.p4	K14830
TRINITY_DN278_c1_g1_i8.p5	K14830
TRINITY_DN1717_c0_g1_i7.p5	K14835
TRINITY_DN228_c11_g1_i2.p5	K14839
TRINITY_DN1772_c1_g1_i22.p2	K14855
TRINITY_DN1129_c1_g1_i18.p4	K14857
TRINITY_DN7434_c0_g1_i1.p1	K15042
TRINITY_DN18220_c1_g1_i6.p9	K15104
TRINITY_DN2247_c0_g1_i4.p1	K15109
TRINITY_DN466_c0_g1_i20.p1	K15109
TRINITY_DN466_c0_g1_i21.p1	K15109
TRINITY_DN84_c4_g2_i3.p8	K15196
TRINITY_DN54_c17_g1_i2.p1	K15272
TRINITY_DN1169_c0_g1_i10.p2	K15276
TRINITY_DN1169_c0_g1_i6.p2	K15276
TRINITY_DN525_c0_g1_i15.p12	K15286
TRINITY_DN525_c0_g1_i33.p11	K15286
TRINITY_DN525_c0_g1_i34.p12	K15286
TRINITY_DN525_c0_g1_i36.p12	K15286
TRINITY_DN525_c0_g1_i43.p9	K15286
TRINITY_DN1497_c1_g1_i8.p1	K15397
TRINITY_DN363_c1_g1_i2.p2	K15423
TRINITY_DN1524_c0_g1_i18.p3	K15442
TRINITY_DN1524_c0_g1_i9.p1	K15442
TRINITY_DN1748_c0_g1_i10.p5	K15498
TRINITY_DN1748_c0_g1_i18.p3	K15498
TRINITY_DN1748_c0_g1_i22.p3	K15498
TRINITY_DN1748_c0_g1_i23.p1	K15498
TRINITY_DN1748_c0_g1_i26.p5	K15498
TRINITY_DN1748_c0_g1_i29.p7	K15498
TRINITY_DN468_c5_g1_i46.p2	K15633
TRINITY_DN682_c11_g1_i1.p8	K15683
TRINITY_DN4254_c0_g1_i3.p2	K15710
TRINITY_DN30_c4_g3_i1.p2	K15849
TRINITY_DN49_c8_g1_i2.p3	K15849
TRINITY_DN1925_c1_g2_i1.p7	K16066
TRINITY_DN10906_c0_g1_i2.p7	K16240
TRINITY_DN490_c3_g1_i1.p2	K16276
TRINITY_DN1481_c6_g1_i3.p3	K16298
TRINITY_DN15255_c0_g2_i1.p2	K17069
TRINITY_DN2518_c1_g1_i1.p1	K17069
TRINITY_DN1552_c2_g4_i3.p22	K17086
TRINITY_DN2607_c1_g1_i1.p2	K17086
TRINITY_DN2607_c1_g1_i2.p3	K17086
TRINITY_DN1862_c1_g1_i2.p1	K17267
TRINITY_DN18255_c0_g1_i2.p1	K17686
TRINITY_DN2908_c1_g1_i1.p3	K17686
TRINITY_DN584_c1_g1_i21.p1	K17686
TRINITY_DN7417_c0_g1_i1.p1	K17686
TRINITY_DN1896_c1_g3_i10.p4	K17710
TRINITY_DN1896_c1_g3_i13.p3	K17710
TRINITY_DN1896_c1_g3_i5.p5	K17710
TRINITY_DN1896_c1_g3_i6.p4	K17710
TRINITY_DN259_c13_g1_i1.p2	K17710
TRINITY_DN259_c13_g2_i1.p1	K17710
TRINITY_DN31_c8_g1_i1.p1	K17710
TRINITY_DN365_c6_g8_i1.p1	K17725
TRINITY_DN12821_c0_g1_i1.p1	K17732
TRINITY_DN320_c0_g4_i1.p5	K17732
TRINITY_DN320_c0_g4_i2.p5	K17732
TRINITY_DN2973_c0_g1_i1.p1	K17756
TRINITY_DN594_c6_g1_i1.p1	K17783
TRINITY_DN594_c6_g1_i2.p1	K17783
TRINITY_DN1145_c2_g1_i1.p1	K17790
TRINITY_DN1145_c2_g5_i1.p1	K17790
TRINITY_DN383_c2_g2_i2.p5	K17868
TRINITY_DN383_c2_g2_i4.p5	K17868
TRINITY_DN3918_c0_g1_i4.p7	K17892
TRINITY_DN716_c1_g1_i26.p1	K17985
TRINITY_DN372_c2_g10_i1.p5	K18121
TRINITY_DN528_c0_g1_i2.p9	K18151
TRINITY_DN528_c0_g1_i3.p1	K18151
TRINITY_DN528_c0_g1_i6.p2	K18151
TRINITY_DN343_c0_g3_i3.p6	K18460
TRINITY_DN967_c0_g1_i6.p3	K18534
TRINITY_DN1520_c2_g1_i4.p7	K18655
TRINITY_DN677_c0_g5_i1.p1	K18758
TRINITY_DN2130_c0_g1_i84.p1	K18930
TRINITY_DN62_c4_g1_i1.p4	K19073
TRINITY_DN409_c14_g1_i1.p1	K19355
TRINITY_DN771_c1_g1_i1.p4	K19603
TRINITY_DN71992_c2_g1_i1.p2	K19788
TRINITY_DN1778_c0_g2_i10.p19	K20224
TRINITY_DN1778_c0_g2_i13.p19	K20224
TRINITY_DN336_c1_g1_i40.p4	K20715
TRINITY_DN1725_c0_g1_i2.p1	K20792
TRINITY_DN101_c16_g3_i1.p3	K21027
TRINITY_DN5963_c0_g2_i1.p2	K21768
TRINITY_DN298_c2_g1_i3.p8	K22068
TRINITY_DN2808_c0_g2_i1.p7	K22074
TRINITY_DN4149_c0_g2_i1.p1	K22464
TRINITY_DN198_c3_g1_i5.p3	K22684
TRINITY_DN616_c0_g3_i2.p22	K22696
TRINITY_DN616_c0_g3_i4.p22	K22696
TRINITY_DN316_c0_g1_i1.p21	K22736
TRINITY_DN316_c0_g1_i3.p21	K22736
TRINITY_DN1255_c3_g2_i4.p2	K22748
TRINITY_DN485_c13_g2_i1.p3	K22879
TRINITY_DN1605_c3_g2_i4.p9	K22913
TRINITY_DN2445_c0_g1_i14.p7	K22920
TRINITY_DN77_c6_g1_i1.p5	K22935
TRINITY_DN1311_c0_g1_i18.p1	K22991
TRINITY_DN16_c3_g1_i1.p1	K23025
TRINITY_DN16_c3_g1_i5.p1	K23025
TRINITY_DN611_c1_g1_i1.p2	K23095
TRINITY_DN611_c1_g1_i2.p2	K23095
TRINITY_DN8494_c0_g1_i1.p8	K23146
TRINITY_DN1097_c0_g1_i1.p4	K23163
TRINITY_DN2889_c0_g1_i1.p7	K23163
TRINITY_DN2889_c0_g1_i12.p5	K23163
TRINITY_DN2889_c0_g1_i14.p5	K23163
TRINITY_DN654_c20_g1_i1.p2	K23735
TRINITY_DN2922_c0_g2_i1.p5	K23948
TRINITY_DN149_c0_g3_i1.p1	K23994
TRINITY_DN212_c6_g3_i1.p9	K23998
TRINITY_DN1218_c0_g1_i6.p13	K24175
TRINITY_DN583_c5_g2_i1.p3	K24730
TRINITY_DN796_c3_g1_i3.p2	K24761
TRINITY_DN480_c2_g1_i8.p11	K24887
TRINITY_DN233_c0_g2_i1.p1	K25164
TRINITY_DN233_c0_g2_i1.p5	K25164
TRINITY_DN233_c0_g2_i2.p1	K25164
TRINITY_DN1121_c0_g1_i8.p6	K25193
TRINITY_DN6594_c0_g2_i1.p4	K25307
TRINITY_DN1375_c9_g1_i17.p13	K25770
TRINITY_DN160_c2_g2_i3.p10	K25900
TRINITY_DN1188_c1_g6_i1.p8	K26392
TRINITY_DN262_c9_g1_i2.p1	K26736
TRINITY_DN37_c1_g1_i8.p11	K26752
TRINITY_DN210_c0_g1_i11.p10	K26957
TRINITY_DN210_c0_g1_i6.p11	K26957
TRINITY_DN210_c0_g1_i7.p12	K26957
TRINITY_DN140_c0_g4_i2.p16	K27413
TRINITY_DN2431_c0_g2_i1.p7	K27686
TRINITY_DN2431_c0_g2_i2.p8	K27686
TRINITY_DN2431_c0_g2_i4.p7	K27686
TRINITY_DN776_c0_g2_i1.p5	K27857
TRINITY_DN776_c0_g2_i2.p4	K27857
TRINITY_DN490_c5_g1_i26.p1	K27887
